Name,Team,Pos,Count,Yards,Declined,Offsetting,Pre-Snap,Penalties,Week,Year
D.Bell,Buffalo,T,3,15,1,0,3,"Illegal Formation (2), False Start (1), Offensive Holding (1)",1,2009
D.Stewart,Tennessee,T,3,13,0,0,3,"Illegal Formation (2), False Start (1)",1,2009
T.Polamalu,Pittsburgh,SS,2,30,0,1,0,"Unnecessary Roughness (1), Defensive Pass Interference (1), Face Mask (15 Yards) (1)",1,2009
R.Incognito,St. Louis,C,3,35,0,0,1,"Unnecessary Roughness (2), False Start (1)",1,2009
C.Green,Oakland,T,3,20,0,0,2,"False Start (2), Offensive Holding (1)",1,2009
J.Flacco,Baltimore,QB,1,5,0,1,1,"Intentional Grounding (1), Delay of Game (1)",1,2009
C.Johnson,Cincinnati,WR,2,17,0,0,0,"Offensive Pass Interference (1), Offensive Holding (1)",1,2009
B.Edwards,Cleveland,WR,2,15,0,0,1,"False Start (1), Illegal Block Above the Waist (1)",1,2009
A.Wilson,Arizona,SS,2,20,0,0,1,"Unnecessary Roughness (1), Defensive Offside (1)",1,2009
J.Abraham,Atlanta,OLB,2,10,0,0,2,"Defensive Offside (1), Defensive Delay of Game (1)",1,2009
V.Wilfork,New England,NT,2,20,0,0,1,"Roughing the Passer (1), Encroachment (1)",1,2009
D.Ferguson,N.Y. Jets,T,2,20,0,0,1,"Unnecessary Roughness (1), Illegal Motion (1)",1,2009
M.Sanchez,N.Y. Jets,QB,2,20,0,0,1,"False Start (1), Low Block (1)",1,2009
P.Rivers,San Diego,QB,2,20,0,0,1,"Delay of Game (1), Taunting (1)",1,2009
D.Dockett,Arizona,DT,2,9,0,0,2,Defensive Offside (2),1,2009
D.Koppen,New England,C,2,10,0,0,2,False Start (2),1,2009
D.Sharper,New Orleans,FS,1,1,1,0,0,"Personal Foul (1), Defensive Holding (1)",1,2009
S.Andrews,Philadelphia,G,2,10,0,0,2,"False Start (1), Illegal Formation (1)",1,2009
B.Hamilton,Denver,G,2,15,0,0,1,"False Start (1), Offensive Holding (1)",1,2009
C.Thompson,Houston,LB,2,20,0,0,0,"Unnecessary Roughness (1), Offensive Holding (1)",1,2009
M.Gandy,Arizona,T,2,15,0,0,1,"False Start (1), Offensive Holding (1)",1,2009
D.Tapp,Seattle,DE,2,10,0,0,2,Defensive Offside (2),1,2009
S.Nelson,Buffalo,TE,2,16,0,0,1,"False Start (1), Offensive Holding (1)",1,2009
J.Peters,Philadelphia,T,2,10,0,0,2,False Start (2),1,2009
T.Clabo,Atlanta,T,0,0,0,1,0,Offensive Holding (1),1,2009
J.St. Clair,Cleveland,T,1,5,0,0,1,False Start (1),1,2009
R.White,Atlanta,WR,1,10,0,0,0,Offensive Holding (1),1,2009
D.Graham,Denver,TE,1,5,0,0,1,False Start (1),1,2009
J.Johnson,Baltimore,LB,1,15,0,0,0,Roughing the Passer (1),1,2009
N.Washington,Tennessee,WR,0,0,0,1,1,Illegal Formation (1),1,2009
T.McDaniel,Miami,DT,0,0,0,1,0,Illegal Use of Hands (1),1,2009
R.Colclough,Kansas City,DB,0,0,0,1,0,Illegal Contact (1),1,2009
B.Williams,Cincinnati,G,0,0,1,0,0,Ineligible Downfield Pass (1),1,2009
C.Griffin,Minnesota,CB,1,28,0,0,0,Defensive Pass Interference (1),1,2009
S.Moss,Washington,WR,0,0,0,1,0,Personal Foul (1),1,2009
C.Webster,N.Y. Giants,CB,0,0,0,1,0,Personal Foul (1),1,2009
P.Garcon,Indianapolis,WR,1,5,0,0,1,False Start (1),1,2009
B.McDonald,Cleveland,DB,1,16,0,0,0,Defensive Pass Interference (1),1,2009
